window,timestamp,close,adx,bbw,primary_bbw_percentile,pooled_bbw_percentile,bbw_ratio_to_history_mean,atr_ratio_20,raw_detect,current_regime,squeeze_miss_reason
TRENDING_UP,2023-10-15 00:00:00+00:00,26880.46,21.719715448771773,0.010763800018866515,0.0,0.11166945840312675,0.32617931537412714,0.7763703239989052,,TRENDING,bbw_ratio_too_high
RANGING,2025-03-23 16:00:00+00:00,85011.19,16.34677651902981,0.01820858972220351,0.0,2.9313232830820772,0.41125024727067344,0.7361917192721431,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-29 00:00:00+00:00,107210.78,17.55505019520252,0.010323722117007357,0.0,0.05583472920156338,0.17622795749296524,0.7106448833884821,RANGING,RANGING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 16:00:00+00:00,90690.8,17.166274059853883,0.009882949708692716,0.0,0.0,0.22162795673099905,0.691803120261474,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-29 04:00:00+00:00,107402.18,14.52296616424444,0.010354808815187284,0.08012820512820512,0.08375209380234507,0.17917263224113547,0.6881086578061629,RANGING,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-10-15 04:00:00+00:00,26882.52,20.15937107463872,0.010802454236947742,0.0931098696461825,0.13958682300390843,0.33134964893782487,0.7390033579953675,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 20:00:00+00:00,91013.65,16.968657550767066,0.010218176639144098,0.09363295880149813,0.02791736460078169,0.233944557163082,0.7205659923694301,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-06-28 20:00:00+00:00,107296.79,18.434231977765588,0.010981409286624371,0.16025641025641024,0.25125628140703515,0.1849430938861178,0.7254365608232238,RANGING,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-10-14 20:00:00+00:00,26852.48,24.104202407585955,0.01080440843869874,0.186219739292365,0.16750418760469013,0.32341040981884844,0.7862576816510902,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-11 12:00:00+00:00,90875.79,16.815073069975426,0.01114458365263497,0.18726591760299627,0.30709101060859856,0.24538218036790715,0.6808499331182679,RANGING,RANGING,bbw_ratio_too_high
